Name,Coating,Material,Thickness,State,Weight,Art,Fgrp,Pos,VariantRule,Row.PartNumber,Row.Quantity,Row.HasCADMatch,Row.CADPart.Id,Row.CADPart.CarryOver,Row.CADPart.KdpMatch
PartBody,,PA preliminary,,0,0.0,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409628,True,OK Inherited
PartBody,,PA preliminary,,0,0.0,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409633,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409638,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409647,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409652,True,OK Inherited
PartBody,,PA preliminary,,0,0.0,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409657,True,OK Inherited
PartBody,,PA preliminary,,0,0.870235826416217,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409666,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409671,True,OK Inherited
PartBody,,PA preliminary,,0,1.20337161462552,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409697,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,2.34615425439128,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409702,True,OK Inherited
Busbar Cu Laminated,UC,Copper preliminary,4mm,0,87.2348,840,3113,57,V536310VSOPCHPLV,32263848,1.0,True,id409247,True,Wrong Revision
Tape Insulation,UC,Certoplast 525 SE,1.5mm,0,2.03466,840,3113,57,V536310VSOPCHPLV,32263848,1.0,True,id409247,True,Wrong Revision
PartBody,UC,Copper preliminary,6mm,0,92.7429,840,3113,57,V536310VSOPCHPLV,32263847,1.0,True,id409321,True,OK Inherited
PartBody,,Steel,,0,0.0,840,3113,57,V536310VSOPCHPLV,32263847,1.0,True,id409330,True,OK Inherited
PartBody,,Steel,,0,0.0,840,3113,57,V536310VSOPCHPLV,32263847,1.0,True,id409335,True,OK Inherited
Busbar Solid Cu,UC,Copper,4mm,0,126.833,840,3113,57,V536310VSOPCHPLV,32263846,1.0,True,id409414,True,OK
Cable,UC,Copper,4mm,0,113.465,840,3113,57,V536310VSOPCHPLV,32263846,1.0,True,id409414,True,OK
Insulation,UC,EVA + MICA,1.5mm,0,19.7814,840,3113,57,V536310VSOPCHPLV,32263846,1.0,True,id409414,True,OK
BDU Side BB,UC,Copper,0.5mm,0,18.5165,840,3113,57,V536310VSOPCHPLV,32263846,1.0,True,id409414,True,OK
Busbar Solid Cu,UC,Copper,4mm,0,139.4,840,3113,57,V536310VSOPCHPLV,32263845,1.0,True,id409391,True,OK
